PATCH,	BLUE,	RED,	WINNER,	BB1,	RB1,	BB2,	RB2,	BB3,	RB3,	BP1,	RP1,	RP2,	BP2,	BP3,	RP3,	RB4,	BB4,	RB5,	BB5,	RP4,	BP4,	BP5,	RP5
8_16,	MSF,	SPY,	RED,	GRAGAS,	DRAVEN,	BRAUM,	RAKAN,	MORGANA,	KALISTA,	URGOT,	VARUS, ORNN,	KAISA, ALISTAR,	TAHM KENCH,	OLAF,	RYZE,	KINDRED,	LEBLANC,	SEJUANI,	AATROX, SWAIN,	CASSIOPEIA
8_16,	MSF,	SPY,	BLUE,	GRAGAS,	DRAVEN,	BRAUM,	RAKAN,	MORGANA,	KALISTA,	URGOT,	VARUS, ORNN,	KAISA, ALISTAR,	TAHM KENCH,	AATROX,	RYZE,	OLAF,	CASSIOPEIA,	ZAC,	POPPY, TALIYAH,	AKALI
8_16,	MSF,	SPY,	RED,	GRAGAS,	DRAVEN,	BRAUM,	KALISTA,	MORGANA,	RAKAN,	URGOT,	TAHM KENCH, VARUS,	ORNN, KAISA,	RYZE,	OLAF,	POPPY,	AATROX,	SION,	MAOKAI,	ALISTAR, KINDRED,	SKARNER
8_16,	SPY,	MSF,	RED,	DRAVEN,	GRAGAS,	KALISTA,	BRAUM,	RAKAN,	URGOT,	VARUS,	XAYAH, AATROX,	TAHM KENCH, SION,	ORNN,	RYZE,	OLAF,	SKARNER,	XIN ZHAO,	PYKE,	KINDRED, LEBLANC,	LISSANDRA
8_16,	MSF,	SPY,	RED,	GRAGAS,	DRAVEN,	VARUS,	KALISTA,	URGOT,	RAKAN,	KAISA,	BRAUM, RYZE,	ALISTAR, AATROX,	VAYNE,	AURELION SOL,	ORNN,	ZILEAN,	SKARNER,	SION,	MAOKAI, YASUO,	TRUNDLE
8_16,	G2,	SPY,	RED,	BRAUM,	SWAIN,	KAISA,	RYZE,	MORGANA,	OLAF,	RAKAN,	XAYAH, SKARNER,	ZAC, URGOT,	ALISTAR,	VARUS,	SION,	LEBLANC,	IRELIA,	MAOKAI,	EZREAL, CORKI,	ZOE
8_16,	G2,	SPY,	BLUE,	BRAUM,	SWAIN,	KAISA,	RYZE,	MORGANA,	RAKAN,	SKARNER,	XAYAH, ZAC,	TAHM KENCH, JHIN,	SION,	LEBLANC,	ALISTAR,	IRELIA,	PYKE,	ZILEAN,	AKALI, AATROX,	GALIO
8_16,	G2,	SPY,	RED,	KAISA,	SWAIN,	VARUS,	AKALI,	TRUNDLE,	RAKAN,	SKARNER,	BRAUM, OLAF,	TAHM KENCH, JHIN,	RYZE,	AATROX,	ORNN,	CASSIOPEIA,	VAYNE,	TRISTANA,	IRELIA, SION,	MAOKAI
8_16,	G2,	SPY,	BLUE,	KAISA,	SWAIN,	BRAUM,	AKALI,	TRUNDLE,	RAKAN,	OLAF,	GRAGAS, VARUS,	TAHM KENCH, RYZE,	CASSIOPEIA,	AATROX,	ALISTAR,	JHIN,	ORNN,	MORGANA,	HEIMERDINGER, IRELIA,	MAOKAI
8_16,	G2,	SPY,	BLUE,	KAISA,	AKALI,	BRAUM,	RAKAN,	TRUNDLE,	SWAIN,	OLAF,	TAHM KENCH, RYZE,	ALISTAR, HEIMERDINGER,	JHIN,	IRELIA,	GRAGAS,	CASSIOPEIA,	ORNN,	SKARNER,	URGOT, MALZAHAR,	SION
8_16,	S04,	G2,	RED,	HEIMERDINGER,	KAISA,	OLAF,	BRAUM,	URGOT,	SKARNER,	VARUS,	TAHM KENCH, ASHE,	ALISTAR, POPPY,	AATROX,	TRUNDLE,	AKALI,	JARVAN IV,	TALIYAH,	SEJUANI,	ZAC, RYZE,	CASSIOPEIA
8_16,	S04,	G2,	BLUE,	HEIMERDINGER,	KAISA,	AATROX,	BRAUM,	OLAF,	SKARNER,	URGOT,	VARUS, TAHM KENCH,	XAYAH, RAKAN,	SION,	JARVAN IV,	CASSIOPEIA,	TRUNDLE,	AKALI,	RYZE,	GRAGAS, MAOKAI,	POPPY
8_16,	S04,	G2,	RED,	HEIMERDINGER,	BRAUM,	OLAF,	ALISTAR,	AATROX,	URGOT,	RAKAN,	VARUS, SKARNER,	XAYAH, ORNN,	MORGANA,	ZAC,	AKALI,	SEJUANI,	RYZE,	SION,	TRUNDLE, LEBLANC,	CORKI
8_16,	G2,	S04,	BLUE,	BRAUM,	AATROX,	URGOT,	HEIMERDINGER,	TRUNDLE,	TAHM KENCH,	OLAF,	ALISTAR, KAISA,	XAYAH, RAKAN,	SKARNER,	SION,	LEBLANC,	ORNN,	AKALI,	CHOGATH,	GANGPLANK, CASSIOPEIA,	AZIR
8_14,	MSF,	UOL,	BLUE,	VLADIMIR,	TALIYAH,	HEIMERDINGER,	AATROX,	GRAGAS,	YASUO,	NOCTURNE,	KINDRED, RAKAN,	ORIANNA, MORGANA,	XAYAH,	LUCIAN,	RYZE,	GNAR,	GALIO,	ZOE,	DRAVEN, ORNN,	POPPY
8_14,	H2K,	ROC,	RED,	YASUO,	RAKAN,	GRAGAS,	TALIYAH,	NOCTURNE,	RYZE,	AATROX,	CAMILLE, ORIANNA,	KINDRED, MORGANA,	VARUS,	GALIO,	RUMBLE,	HEIMERDINGER,	SHEN,	TAHM KENCH,	KAISA, ALISTAR,	DR. MUNDO
